iter	Passed	Remaining
163	9235	18920
164	9285	18852
165	9344	18801
166	9404	18752
167	9473	18721
168	9522	18650
169	9552	18542
170	9614	18497
171	9658	18417
172	9706	18347
173	9733	18235
174	9812	18223
175	9853	18138
176	9891	18050
177	9908	17924
178	9953	17848
179	10014	17804
180	10090	17784
181	10142	17720
182	10192	17656
183	10239	17584
184	10291	17523
185	10339	17455
186	10386	17384
187	10436	17320
188	10502	17281
189	10550	17214
190	10595	17141
191	10647	17080
192	10695	17012
193	10745	16949
194	10808	16906
195	10857	16840
196	10909	16779
197	10974	16738
198	11043	16703
199	11103	16655
200	11188	16643
201	11288	16653
202	11332	16580
203	11366	16491
204	11415	16427
205	11468	16368
206	11517	16302
207	11590	16271
208	11636	16202
209	11686	16138
210	11742	16082
211	11795	16024
212	11846	15961
213	11899	15902
214	11951	15843
215	12019	15804
216	12062	15731
217	12110	15665
218	12180	15628
219	12246	15587
220	12297	15524
221	12347	15462
222	12408	15412
223	12428	15313
224	12487	15262
225	12543	15207
226	12609	15164
227	12679	15126
228	12740	15077
229	12759	14978
230	12814	14921
231	12875	14873
232	12935	14823
233	12959	14732
234	12999	14658
235	13048	14596
236	13096	14533
237	13157	14484
238	13219	14435
239	13280	14386
240	13332	14328
241	13373	14257
242	13433	14207
243	13480	14143
244	13532	14084
245	13582	14024
246	13645	13976
247	13702	13923
248	13771	13881
249	13851	13851
250	13899	13788
251	13954	13733
252	14010	13678
253	14081	13637
254	14141	13587
255	14196	13531
256	14258	13482
257	14311	13423
258	14367	13369
259	14425	13315
260	14512	13289
261	14571	13237
262	14610	13165
263	14665	13109
264	14722	13055
265	14779	13001
266	14845	12954
267	14891	12890
268	14958	12845
269	15010	12786
270	15066	12731
271	15123	12677
272	15176	12619
273	15193	12531
274	15257	12483
275	15318	12432
276	15344	12353
277	15399	12297
278	15447	12236
279	15496	12176
280	15564	12130
281	15612	12069
282	15631	11986
283	15677	11923
284	15731	11867
285	15770	11800
286	15835	11752
287	15886	11693
288	15933	11633
289	15992	11580
290	16049	11527
291	16098	11467
292	16149	11409
293	16194	11346
294	16246	11289
295	16310	11241
296	16371	11189
297	16417	11128
298	16468	11070
299	16518	11012
300	16575	10958
301	16643	10911
302	16694	10854
303	16747	10797
304	16808	10746
305	16885	10705
306	16934	10646
307	16993	10593
308	17044	10535
309	17116	10490
310	17168	10433
311	17224	10379
312	17245	10303
313	17300	10248
314	17361	10196
315	17414	10140
316	17464	10082
317	17522	10028
318	17573	9971
319	17624	9913
320	17681	9859
321	17739	9806
322	17804	9756
323	17863	9703
324	17915	9646
325	17964	9588
326	18010	9528
327	18056	9468
328	18095	9405
329	18160	9355
330	18241	9313
331	18258	9239
332	18300	9177
333	18373	9131
334	18425	9075
335	18479	9019
336	18562	8978
337	18613	8921
338	18669	8866
339	18717	8808
340	18740	8738
341	18793	8682
342	18838	8622
343	18947	8592
344	18996	8534
345	19066	8486
346	19112	8426
347	19164	8370
348	19211	8312
349	19251	8250
350	19328	8204
351	19379	8148
352	19423	8088
353	19471	8030
354	19536	7979
355	19590	7924
356	19634	7864
357	19725	7824
358	19774	7766
359	19827	7710
360	19884	7656
361	19939	7601
362	19993	7545
363	20054	7492
364	20104	7435
365	20163	7382
366	20224	7329
367	20282	7275
368	20335	7219
369	20405	7169
370	20459	7113
371	20514	7058
372	20581	7007
373	20626	6949
374	20674	6891
375	20720	6833
376	20767	6775
377	20815	6718
378	20883	6667
379	20931	6610
380	20997	6558
381	21047	6501
382	21097	6445
383	21157	6391
384	21210	6335
385	21238	6272
386	21287	6215
387	21356	6164
388	21404	6107
389	21445	6048
390	21498	5993
391	21567	5941
392	21617	5885
393	21699	5837
394	21745	5780
395	21791	5722
396	21838	5666
397	21886	5609
398	21946	5555
399	21998	5499
